Serial Number,Area Name,Number Of Duties,Days,Time
1,MG Road,58,Monday,00:00 to 01:00
2,MG Road,72,Monday,01:00 to 02:00
3,MG Road,70,Monday,02:00 to 03:00
4,MG Road,66,Monday,03:00 to 04:00
5,MG Road,51,Monday,04:00 to 05:00
6,MG Road,102,Monday,05:00 to 06:00
7,MG Road,102,Monday,06:00 to 07:00
8,MG Road,106,Monday,07:00 to 08:00
9,MG Road,154,Monday,08:00 to 09:00
10,MG Road,114,Monday,09:00 to 10:00
11,MG Road,146,Monday,10:00 to 11:00
12,MG Road,107,Monday,11:00 to 12:00
13,MG Road,99,Monday,12:00 to 13:00
14,MG Road,117,Monday,13:00 to 14:00
15,MG Road,82,Monday,14:00 to 15:00
16,MG Road,83,Monday,15:00 to 16:00
17,MG Road,87,Monday,16:00 to 17:00
18,MG Road,160,Monday,17:00 to 18:00
19,MG Road,164,Monday,18:00 to 19:00
20,MG Road,130,Monday,19:00 to 20:00
21,MG Road,122,Monday,20:00 to 21:00
22,MG Road,110,Monday,21:00 to 22:00
23,MG Road,86,Monday,22:00 to 23:00
24,MG Road,94,Monday,23:00 to 00:00
25,MG Road,50,Tuesday,00:00 to 01:00
26,MG Road,73,Tuesday,01:00 to 02:00
27,MG Road,79,Tuesday,02:00 to 03:00
28,MG Road,67,Tuesday,03:00 to 04:00
29,MG Road,62,Tuesday,04:00 to 05:00
30,MG Road,123,Tuesday,05:00 to 06:00
31,MG Road,128,Tuesday,06:00 to 07:00
32,MG Road,91,Tuesday,07:00 to 08:00
33,MG Road,146,Tuesday,08:00 to 09:00
34,MG Road,119,Tuesday,09:00 to 10:00
35,MG Road,116,Tuesday,10:00 to 11:00
36,MG Road,111,Tuesday,11:00 to 12:00
37,MG Road,129,Tuesday,12:00 to 13:00
38,MG Road,77,Tuesday,13:00 to 14:00
39,MG Road,112,Tuesday,14:00 to 15:00
40,MG Road,112,Tuesday,15:00 to 16:00
41,MG Road,78,Tuesday,16:00 to 17:00
42,MG Road,112,Tuesday,17:00 to 18:00
43,MG Road,141,Tuesday,18:00 to 19:00
44,MG Road,131,Tuesday,19:00 to 20:00
45,MG Road,96,Tuesday,20:00 to 21:00
46,MG Road,128,Tuesday,21:00 to 22:00
47,MG Road,124,Tuesday,22:00 to 23:00
48,MG Road,113,Tuesday,23:00 to 00:00
49,MG Road,73,Wednesday,00:00 to 01:00
50,MG Road,63,Wednesday,01:00 to 02:00
51,MG Road,52,Wednesday,02:00 to 03:00
52,MG Road,50,Wednesday,03:00 to 04:00
53,MG Road,84,Wednesday,04:00 to 05:00
54,MG Road,72,Wednesday,05:00 to 06:00
55,MG Road,71,Wednesday,06:00 to 07:00
56,MG Road,98,Wednesday,07:00 to 08:00
57,MG Road,102,Wednesday,08:00 to 09:00
58,MG Road,136,Wednesday,09:00 to 10:00
59,MG Road,143,Wednesday,10:00 to 11:00
60,MG Road,128,Wednesday,11:00 to 12:00
61,MG Road,130,Wednesday,12:00 to 13:00
62,MG Road,89,Wednesday,13:00 to 14:00
63,MG Road,83,Wednesday,14:00 to 15:00
64,MG Road,94,Wednesday,15:00 to 16:00
65,MG Road,116,Wednesday,16:00 to 17:00
66,MG Road,158,Wednesday,17:00 to 18:00
67,MG Road,118,Wednesday,18:00 to 19:00
68,MG Road,114,Wednesday,19:00 to 20:00
69,MG Road,99,Wednesday,20:00 to 21:00
70,MG Road,112,Wednesday,21:00 to 22:00
71,MG Road,111,Wednesday,22:00 to 23:00
72,MG Road,100,Wednesday,23:00 to 00:00
73,MG Road,68,Thursday,00:00 to 01:00
74,MG Road,60,Thursday,01:00 to 02:00
75,MG Road,51,Thursday,02:00 to 03:00
76,MG Road,66,Thursday,03:00 to 04:00
77,MG Road,65,Thursday,04:00 to 05:00
78,MG Road,94,Thursday,05:00 to 06:00
79,MG Road,125,Thursday,06:00 to 07:00
80,MG Road,70,Thursday,07:00 to 08:00
81,MG Road,143,Thursday,08:00 to 09:00
82,MG Road,101,Thursday,09:00 to 10:00
83,MG Road,115,Thursday,10:00 to 11:00
84,MG Road,85,Thursday,11:00 to 12:00
85,MG Road,130,Thursday,12:00 to 13:00
86,MG Road,126,Thursday,13:00 to 14:00
87,MG Road,98,Thursday,14:00 to 15:00
88,MG Road,75,Thursday,15:00 to 16:00
89,MG Road,107,Thursday,16:00 to 17:00
90,MG Road,113,Thursday,17:00 to 18:00
91,MG Road,166,Thursday,18:00 to 19:00
92,MG Road,140,Thursday,19:00 to 20:00
93,MG Road,96,Thursday,20:00 to 21:00
94,MG Road,107,Thursday,21:00 to 22:00
95,MG Road,97,Thursday,22:00 to 23:00
96,MG Road,105,Thursday,23:00 to 00:00
97,MG Road,90,Friday,00:00 to 01:00
98,MG Road,61,Friday,01:00 to 02:00
99,MG Road,53,Friday,02:00 to 03:00
100,MG Road,86,Friday,03:00 to 04:00
101,MG Road,50,Friday,04:00 to 05:00
102,MG Road,72,Friday,05:00 to 06:00
103,MG Road,110,Friday,06:00 to 07:00
104,MG Road,93,Friday,07:00 to 08:00
105,MG Road,135,Friday,08:00 to 09:00
106,MG Road,119,Friday,09:00 to 10:00
107,MG Road,125,Friday,10:00 to 11:00
108,MG Road,112,Friday,11:00 to 12:00
109,MG Road,105,Friday,12:00 to 13:00
110,MG Road,105,Friday,13:00 to 14:00
111,MG Road,73,Friday,14:00 to 15:00
112,MG Road,92,Friday,15:00 to 16:00
113,MG Road,88,Friday,16:00 to 17:00
114,MG Road,120,Friday,17:00 to 18:00
115,MG Road,163,Friday,18:00 to 19:00
116,MG Road,135,Friday,19:00 to 20:00
117,MG Road,83,Friday,20:00 to 21:00
118,MG Road,111,Friday,21:00 to 22:00
119,MG Road,89,Friday,22:00 to 23:00
120,MG Road,72,Friday,23:00 to 00:00
121,MG Road,104,Saturday,00:00 to 01:00
122,MG Road,140,Saturday,01:00 to 02:00
123,MG Road,95,Saturday,02:00 to 03:00
124,MG Road,95,Saturday,03:00 to 04:00
125,MG Road,90,Saturday,04:00 to 05:00
126,MG Road,108,Saturday,05:00 to 06:00
127,MG Road,82,Saturday,06:00 to 07:00
128,MG Road,70,Saturday,07:00 to 08:00
129,MG Road,61,Saturday,08:00 to 09:00
130,MG Road,69,Saturday,09:00 to 10:00
131,MG Road,81,Saturday,10:00 to 11:00
132,MG Road,109,Saturday,11:00 to 12:00
133,MG Road,100,Saturday,12:00 to 13:00
134,MG Road,97,Saturday,13:00 to 14:00
135,MG Road,112,Saturday,14:00 to 15:00
136,MG Road,98,Saturday,15:00 to 16:00
137,MG Road,121,Saturday,16:00 to 17:00
138,MG Road,89,Saturday,17:00 to 18:00
139,MG Road,126,Saturday,18:00 to 19:00
140,MG Road,107,Saturday,19:00 to 20:00
141,MG Road,82,Saturday,20:00 to 21:00
142,MG Road,62,Saturday,21:00 to 22:00
143,MG Road,145,Saturday,22:00 to 23:00
144,MG Road,117,Saturday,23:00 to 00:00
145,MG Road,118,Sunday,00:00 to 01:00
146,MG Road,117,Sunday,01:00 to 02:00
147,MG Road,133,Sunday,02:00 to 03:00
148,MG Road,62,Sunday,03:00 to 04:00
149,MG Road,64,Sunday,04:00 to 05:00
150,MG Road,98,Sunday,05:00 to 06:00
151,MG Road,66,Sunday,06:00 to 07:00
152,MG Road,95,Sunday,07:00 to 08:00
153,MG Road,62,Sunday,08:00 to 09:00
154,MG Road,99,Sunday,09:00 to 10:00
155,MG Road,114,Sunday,10:00 to 11:00
156,MG Road,96,Sunday,11:00 to 12:00
157,MG Road,86,Sunday,12:00 to 13:00
158,MG Road,101,Sunday,13:00 to 14:00
159,MG Road,90,Sunday,14:00 to 15:00
160,MG Road,115,Sunday,15:00 to 16:00
161,MG Road,110,Sunday,16:00 to 17:00
162,MG Road,90,Sunday,17:00 to 18:00
163,MG Road,92,Sunday,18:00 to 19:00
164,MG Road,76,Sunday,19:00 to 20:00
165,MG Road,61,Sunday,20:00 to 21:00
166,MG Road,98,Sunday,21:00 to 22:00
167,MG Road,126,Sunday,22:00 to 23:00
168,MG Road,100,Sunday,23:00 to 00:00
169,Shivajinagar,61,Monday,00:00 to 01:00
170,Shivajinagar,85,Monday,01:00 to 02:00
171,Shivajinagar,80,Monday,02:00 to 03:00
172,Shivajinagar,57,Monday,03:00 to 04:00
173,Shivajinagar,69,Monday,04:00 to 05:00
174,Shivajinagar,127,Monday,05:00 to 06:00
175,Shivajinagar,114,Monday,06:00 to 07:00
176,Shivajinagar,80,Monday,07:00 to 08:00
177,Shivajinagar,119,Monday,08:00 to 09:00
178,Shivajinagar,139,Monday,09:00 to 10:00
179,Shivajinagar,123,Monday,10:00 to 11:00
180,Shivajinagar,86,Monday,11:00 to 12:00
181,Shivajinagar,120,Monday,12:00 to 13:00
182,Shivajinagar,125,Monday,13:00 to 14:00
183,Shivajinagar,125,Monday,14:00 to 15:00
